repo_name,description,owner,owner_location,topic,url,num_stars,num_forks
Anomaly-Detection-KDD99-CNNLSTM,Intrusion Detection System using Machine Learning and Deep Learning,Abhay Tyagi,"Melbourne, Victoria, Australia",[],https://github.com/AbhayTyagi009/Anomaly-Detection-KDD99-CNNLSTM.git,12,10
Hello-World-Tensorspace,"Played with Tensorspace a library for Neural network 3D visualization, building interactive and intuitive models in browsers, supports pre-trained deep learning models from TensorFlow, Keras, TensorFlow.js ",Edmonton School of AI,Edmonton,"['pre-trained', 'models', 'deep-learning', 'mikelotis', 'visualization', 'tensorflowjs', 'mnist-classifier', 'mnist-model', 'learning-by-doing', 'playground', 'machine-learning', 'tensorspace', 'pattern-recognition', 'interactive', 'threejs', 'tweenjs', '3d-visualization', 'javascript-library', 'ai-tech', 'simple-demo']",https://github.com/Edmonton-School-of-AI/Hello-World-Tensorspace.git,10,0
Face-Recognition,A simple face recognition script that identifies and classifies all faces in an image.,Tim Ruscica,Ontario,[],https://github.com/techwithtim/Face-Recognition.git,158,101
guitar-note-recognition,Image Processing Project to recognize notes from a guitar fretboard,Neil Wadden,St. John's Newfoundland,[],https://github.com/Neilerino/guitar-note-recognition.git,1,1
WINTER_WORKSHOP_STARaCom,3 Jupyter Notebooks for explaining neural networks and logistic regression: 1. point cloud binary classification; 2. MNIST digit images recognition; 3. coding logistic regression.,Segolene Brivet,"Montreal, Quebec",[],https://github.com/segobrivet/WINTER_WORKSHOP_STARaCom.git,1,1
RR-Hummingbot-Software,Robot Racing 2019/20 Software - Hummingbot,University of Waterloo Robotics Team,"Waterloo, Ontario",[],https://github.com/uwrobotics/RR-Hummingbot-Software.git,5,0
ML-RL-for-Finance,Code (Jupyter Notebooks) for Coursera - Machine Learning and Reinforcement Learning in Finance Specialization,Aayush Mandhyan,"New Brunswick, New Jersey ",[],https://github.com/AayushMandhyan/ML-RL-for-Finance.git,3,5
OpenCV,Experimentation with OpenCV (Video Integration for Computer Vision),Mashrur Chowdhury,"Mississauga, Ontario",[],https://github.com/mashrurc/OpenCV.git,1,0
8Bot,"A Robot that uses a quad-omni-wheel base, a solenoid, an overhead camera and some computer vision to autonomously navigate and play pool against human opponents.",Atif Mahmud,"Waterloo, Ontario",[],https://github.com/Atif-Mahmud/8Bot.git,1,0
QuLAPENO,Tutorials for a mini course in machine learning and quantum physics,Perimeter Institute Quantum Intelligence Lab,"Waterloo, Ontario",[],https://github.com/PIQuIL/QuLAPENO.git,36,17
Cassie_Robot_Resources,"list of papers, videos and codes about the bipedal robot Cassie developed by Agility Robotics","UBC MOCCA, Motion Control and Character Animation group","University of British Columbia, Computer Science, Imager Lab",[],https://github.com/UBCMOCCA/Cassie_Robot_Resources.git,16,2
semiDepth,Tensorflow implementation of Semi-Supervised Monocular Depth Estimation with Left-Right Consistency Using Deep Neural Network.,Ali Jahani,Edmonton,[],https://github.com/jahaniam/semiDepth.git,77,10
GraphDTA,GraphDTA: Predicting drug-target binding affinity with graph neural networks,Thin Nguyen,"Victoria, Australia",[],https://github.com/thinng/GraphDTA.git,55,35
Machine-Learning-Pokemon,This program uses genetic algorithms and artificial intelligence to build the best Pokemon team. ,Gregory Hogg,"Waterloo, Ontario","['python', 'numpy', 'machine-learning', 'genetic-algorithm']",https://github.com/gahogg/Machine-Learning-Pokemon.git,2,0
Address-Data-Analytics-and-Enrichment-Suite,Repository for SMU Masters of Computing and Data Analytics hosted Hackathon software submission. Derive enriched information from address entered as natural language and process that data.,Ben Jollymore,"Halifax, Nova Scotia",[],https://github.com/benjollymore/Address-Data-Analytics-and-Enrichment-Suite.git,2,1
Sentiment-Analysis-Canada-2015-Elections,42nd General Election Prediction for CSCI 6509 Natural Language Processing,Gurjot Singh,Halifax,"['python', 'sckiit-learn', 'pandas', 'dataframe', 'translates', 'regression-algorithms', 'decision-tree-classifier', 'logistic-regression', 'random-forest']",https://github.com/gurjot93/Sentiment-Analysis-Canada-2015-Elections.git,1,0
kerosene,Deep Learning framework for fast and clean research with Pytorch,Benoit Anctil-Robitaille,Quebec City,"['python', 'ai', 'artificial-intelligence', 'deeplearning', 'pytorch', 'framework', 'visdom']",https://github.com/banctilrobitaille/kerosene.git,9,0
river_ice_segmentation,River ice segmentation with deep learning,Abhineet Singh,Edmonton,"['river-ice-segmentation', 'semantic-segmentation', 'deeplab', 'unet', 'densenet', 'svm', 'python', 'paper', 'matlab', 'image-segmentation', 'cryosphere']",https://github.com/abhineet123/river_ice_segmentation.git,5,5
keras-deep-learning-tutorial,A deep learning tutorial for students as a python jupyter notebook,Abram Hindle,"Edmonton, Alberta",[],https://github.com/abramhindle/keras-deep-learning-tutorial.git,4,4
StarNet,Harnessing the power of deep learning to accurately and efficiently predict crucial properties of the stars in our galaxy.,Spencer Bialek,"Victoria, BC","['machine-learning', 'deep-learning', 'astronomy', 'stellar-astrophysics', 'keras', 'tensorflow', 'astrophysics']",https://github.com/Spiffical/StarNet.git,4,1
tv-show-recommendations,"Machine learning pipeline trained offline that, given a TV Show, recommends 10 similar TV Shows using cosine similarities based on a variety of features",Jafer Haider,"Waterloo, Ontario","['machine', 'learning', 'recommendation', 'engine', 'tv-shows', 'python', 'data', 'science']",https://github.com/itsjafer/tv-show-recommendations.git,4,0
Customer-Segmentation-Using-Unsupervised-Learning,Identify customer segments using unsupervised ML,Ahmed Youssef,Victoria,"['python', 'unsupervised-learning', 'customer-segmentation']",https://github.com/a-atef/Customer-Segmentation-Using-Unsupervised-Learning.git,1,0
Self-Organizing-Maps,Unsupervised Learning Demo: Takes a bank transaction dataset and returns fraud analysis.,Mashrur Chowdhury,"Mississauga, Ontario",[],https://github.com/mashrurc/Self-Organizing-Maps.git,1,0
DeepEEG,Deep Learning with Tensor Flow for EEG MNE Epoch Objects,Kyle Mathewson,"Edmonton, AB","['eeg', 'machine-learning', 'neuroscience', 'deep-learning', 'keras-tensorflow']",https://github.com/kylemath/DeepEEG.git,80,31
Depth_estimation,Deep learning model to estimate the depth of image,Alinstein Jose,Victoria,[],https://github.com/alinstein/Depth_estimation.git,23,7
FloRL,Implicit Normalizing Flows + Reinforcement Learning,Avishek (Joey) Bose,"Montreal, Quebec",[],https://github.com/joeybose/FloRL.git,26,1
trading-rrl,Automated FOREX trading using recurrent reinforcement learning,Charles Ashby,"Montreal, Quebec",[],https://github.com/charlesashby/trading-rrl.git,20,11
histopathologic-cancer-detection,EDA and baseline machine learning model prediction for histopathologic cancer detection challenge via Kaggle,Darien Schettler,"Kitchener, Ontario",[],https://github.com/darien-schettler/histopathologic-cancer-detection.git,2,0
BOTCOL,Early development of a bot that uses deep learning to play a sandbox game,Bedir Tapkan,"Edmonton, Alberta",[],https://github.com/BedirT/BOTCOL.git,1,0
studious-octo-engine,Machine Learning-Assignments,Sourav Sarker,"St. John's, NL",['machine-learning'],https://github.com/souravskr/studious-octo-engine.git,1,0
snakeai,Side project for learning machine learning through the game Snake,Coleton,"Victoria, BC",[],https://github.com/Locrian24/snakeai.git,1,0
Predictive-Analytics-on-Toyota-Corolla-Data,"Data Wrangling, Data Visualisation, and Machine Learning on Toyota Corolla data",Prashorst Meas,"Melbourne, Victoria, Australia",[],https://github.com/Prashorst/Predictive-Analytics-on-Toyota-Corolla-Data.git,1,0
