repo_name,description,owner,owner_location,topic,url,num_stars,num_forks
Face-Hallucination,a simple try to reproduce the paper: Super-Identity Convolutional Neural Network for Face Hallucination,Pengshuo Li,Xi'an,"['face-hallucination', 'pytorch']",https://github.com/SirLPS/Face-Hallucination.git,10,2
Antai_Cup,（阿里天池安泰杯国际人工智能电子商务的挑战）Antai Cup-International E-commerce Artificial Intelligence Challenge,Qu Yuli,Xi'an,[],https://github.com/DLLXW/Antai_Cup.git,2,0
AKI-Prediction,Deep Learning Models for AKI Prediction on MIMIC-III and eICU database,YU WANG,Xi'an,[],https://github.com/Sophiaaaaaa/AKI-Prediction.git,3,3
UDTL,"Source codes for the paper ""Unsupervised Deep Transfer Learning for Intelligent Fault Diagnosis: An Open Source and Comparative Study""",Zhibin Zhao,"Xi'an City , Shaanxi Province",[],https://github.com/ZhaoZhibin/UDTL.git,50,23
face_beauty,Face value recognition access control,AVloger,Dalian,[],https://github.com/AVloger/face_beauty.git,1,0
DCNN,python(based on the tensorflow) implement the thesis(A Convolutional Neural Network for Modelling Sentences),Ｙｕ Fan," Xi'an, Shaanxi ",[],https://github.com/jacky123465/DCNN.git,6,2
DL-based-Intelligent-Diagnosis-Benchmark,"Source codes for the paper ""Deep Learning Algorithms for Rotating Machinery Intelligent Diagnosis: An Open Source Benchmark Study""",Zhibin Zhao,"Xi'an City , Shaanxi Province",[],https://github.com/ZhaoZhibin/DL-based-Intelligent-Diagnosis-Benchmark.git,50,26
My-ML-DL-projects,My own machine learning/deep learning/computer vision practice,Gemsarah,"Boston, Xi'an",[],https://github.com/2000222/My-ML-DL-projects.git,1,0
DeepLearningClassification-Detection,"Memoria del Trabajo Fin de Grado (TFG) ""Deep Learning para clasificación y detección de personas"", en la que se explican los pasos seguidos para la elaboración de una Red Neuronal Convolucional para Clasificación de personas y otra para Detección. Realizado con la ayuda de la librería TensorFlow en el lenguaje de programación Python",Jose Maria Baeza-Herrazti Vazquez,Andalucía (España),"['deep-learning', 'deep-neural-networks', 'deeplearning', 'convolutional-neural-networks', 'convolutional-networks', 'convolutional-layers', 'artificial-intelligence', 'artificial-neural-networks', 'tensorflow', 'tensorflow-models', 'python', 'python3', 'python-3', 'detection', 'detection-network', 'clasificacion', 'classification', 'classification-algorithm', 'classification-model']",https://github.com/josebaeza14/DeepLearningClassification-Detection.git,1,0
MachineLearningNotes,Machine learning notes in jupyter.,Xintao Hu,"Xi'an, Shaanxi Province.",[],https://github.com/hxt-tg/MachineLearningNotes.git,1,1
Java-Machine-Learning,Simple Machine Learning library for a better understanding of concepts,José Robles Bastidas,"Málaga, Andalucía (Spain)",[],https://github.com/Jose-Robles/Java-Machine-Learning.git,1,0
Code_Recommendation,a simple complement Code Completion with Neural Attention and Pointer Networks ,Enshengshi,"Xi'an City, Shaanxi Province",[],https://github.com/s1530129650/Code_Recommendation.git,1,0
TextCNN,"This is to use python implementation of the ""Convolutional Neural Networks for Sentence Classification""",Ｙｕ Fan," Xi'an, Shaanxi ",[],https://github.com/jacky123465/TextCNN.git,1,0
My-ML-DL-projects,My own machine learning/deep learning/computer vision practice,Gemsarah,"Boston, Xi'an",[],https://github.com/2000222/My-ML-DL-projects.git,1,0
machine-learning,Demonstration of the classic machine algorithm,Meng Yan,Xi'an,[],https://github.com/yanmxa/machine-learning.git,1,0
Hand-Tracking-Robotic-Arm-Based-on-Arduino,Built a robotic arm that can use people’s gestures to control its posture on Arduino platform and inforce it with reinforcement learning algorithms.,Gemsarah,"Boston, Xi'an",[],https://github.com/2000222/Hand-Tracking-Robotic-Arm-Based-on-Arduino.git,1,0
Rubik-s-Cube-Robot,Solution Rubik's Cube Robot---Algorithm to be improved,leslie,Dalian,[],https://github.com/leslieAIbin/Rubik-s-Cube-Robot.git,1,0
gym_vrep,build a reinforcement environment like openai gym based on V-rep for a dual-arm robot,Sam,"Xi'an City, Shaanxi Province","['v-rep', 'reinforcement-learning', 'robotics']",https://github.com/doctorsrn/gym_vrep.git,4,1
Udacity_Continuous_Control,Deep Reinforcement Learning PPO and A3C algorithms,chen wei,Xi'an,[],https://github.com/auroua/Udacity_Continuous_Control.git,1,0
Hand-Tracking-Robotic-Arm-Based-on-Arduino,Built a robotic arm that can use people’s gestures to control its posture on Arduino platform and inforce it with reinforcement learning algorithms.,Gemsarah,"Boston, Xi'an",[],https://github.com/2000222/Hand-Tracking-Robotic-Arm-Based-on-Arduino.git,1,0
