repo_name,description,owner,owner_location,topic,url,num_stars,num_forks
Generation-of-Training-Data-for-Deep-Learning,A resource repository for generation of training data for deep learning.,Pascal Loth,Hamburg,[],https://github.com/ploth/Generation-of-Training-Data-for-Deep-Learning.git,19,0
pyblaze,Large-Scale Machine and Deep Learning in PyTorch.,Oliver Borchert,Munich,"['pytorch', 'deep-learning', 'machine-learning']",https://github.com/borchero/pyblaze.git,12,1
bonnetal,"Bonnet and then some! Deep Learning Framework for various Image Recognition Tasks. Photogrammetry and Robotics Lab, University of Bonn",Photogrammetry & Robotics Bonn,Bonn,"['ros', 'cnn', 'semantics', 'detection', 'classification', 'features', 'imageprocessing', 'computervision']",https://github.com/PRBonn/bonnetal.git,189,48
Supervised-Machine-Learning,Supervised machine learning examples. ,Timo Meiendresch,Cologne [GER],[],https://github.com/tm1611/Supervised-Machine-Learning.git,1,0
Stanford-Project-Predicting-stock-prices-using-a-LSTM-Network,"Stanford Project: Artificial Intelligence is changing virtually every aspect of our lives. Today’s algorithms accomplish tasks that until recently only expert humans could perform. As it relates to finance, this is an exciting time to adopt a disruptive technology that will transform how everyone invests for generations.  Models that explain the returns of individual stocks generally use company and stock characteristics, e.g., the market prices of financial instruments and companies’ accounting data. These characteristics can also be used to predict expected stock returns out-of-sample. Most studies use simple linear models to form these predictions [1] or [2]. An increasing body of academic literature documents that more sophisticated tools from the Machine Learning (ML) and Deep Learning (DL) repertoire, which allow for nonlinear predictor interactions, can improve the stock return forecasts [3], [4] or [5].  The main goal of this project is to investigate whether modern DL techniques can be utilized to more efficiently predict the movements of the stock market. Specifically, we train a LSTM neural network with time series price-volume data and compare its out-of-sample return predictability with the performance of a simple logistic regression (our baseline model).",David Dümig,Frankfurt am Main,[],https://github.com/dduemig/Stanford-Project-Predicting-stock-prices-using-a-LSTM-Network.git,68,18
Lecture_AI_in_Automotive_Technology,"This is the github Repository that belongs to the lecture ""Artificial Intelligence in Automotive Technology"" from the Institute of Automotive Technology of the Technical University of Munich",TUM - Institute of Automotive Technology,Munich,[],https://github.com/TUMFTM/Lecture_AI_in_Automotive_Technology.git,39,13
robot_tracking,Code and documentation for the task of tracking a robot using Computer Vision ,Anirudh NJ,Bonn,"['aruco-markers', 'tracking', 'opencv', 'lego-nxt']",https://github.com/njanirudh/robot_tracking.git,4,0
Flowers,A small Flask app for uploading and classifying images with PyTorch or IBM Watson Visual Recognition and writing predictions to a SQL database,Christoph Schauer,Munich,"['pytorch', 'transfer-learning', 'convolutional-neural-networks', 'deep-learning', 'python', 'flask', '102-category-flower-dataset', 'sqlalchemy', 'sqlserver', 'watson-visual-recognition']",https://github.com/chrisssch/Flowers.git,1,0
anki_description,Universal Robot Description for Anki Robots,Marton Juhasz,Hamburg,[],https://github.com/nilseuropa/anki_description.git,9,1
AudioPouring,Making Sense of Audio Vibration for Liquid Height Estimation in Robotic Pouring,Hongzhuo Liang,Hamburg,[],https://github.com/lianghongzhuo/AudioPouring.git,5,5
multipolar,Multi-Source Policy Aggregation for Transfer Reinforcement Learning between Diverse Environmental Dynamics,Mohammadamin Barekatain,Munich,[],https://github.com/Mohammadamin-Barekatain/multipolar.git,3,4
Visual-Explanation-in-Deep-Reinforcement-Learning,"This project visualizes the knowledge of an agent trained by Deep Reinforcement Learning (paper will be published) using Backpropagation, Guided Backpropagation, GradCam and Guided gradCam. It shows why the agent is performing the action. Which pixels had the biggest influence on the decision of the agent.",Mateus,"German, Bremen",[],https://github.com/Mateus224/Visual-Explanation-in-Deep-Reinforcement-Learning.git,3,0
reinforcement-learning-2,This repository contains the code to the corresponding blog post: Reinforcement learning – Part 2: Getting started with Deep Q-Networks.,Philip Ossenkopp,Hanover,[],https://github.com/phossen/reinforcement-learning-2.git,2,2
deep_rl_nanodegree,Project Solutions for my Deep Reinforcement Learning Nanodegree at Udacity,Marcel Kurovski,Cologne,"['reinforcement-learning', 'deep-reinforcement-learning', 'actor-critic-algorithm', 'gym', 'unity']",https://github.com/mkurovski/deep_rl_nanodegree.git,2,0
papers,computer vision papers / benchmarks and other resources,Alexey Abramov,"Munich, Bavaria",[],https://github.com/aabramovrepo/papers.git,2,1
Computer-Vision,"Repository for the course ""Computer Vision"" and ""Correspondence Problems in Computer Vision"" at University of Stuttgart",Lucas Rath,Stuttgart,"['computer-vision', 'computer-science', 'university-of-stuttgart']",https://github.com/lucasrm25/Computer-Vision.git,1,2
Computer-Vision-I,Exercises for my master degree Computer Vision 1 module.,Ilyass Taouil,"Bonn, DE",[],https://github.com/itaouil/Computer-Vision-I.git,1,0
cv2_saliency_prediction,Computer Vision 2 Project at Uni Hamburg,Florian Schneider,Hamburg,[],https://github.com/floschne/cv2_saliency_prediction.git,1,0
CarND-LaneLines-P2,"Advanced Lane Finding project from the Udacity's Self Driving Car Engineer NanoDegree. Here, further computer vision techniques (calibration, color space transformation, thresholding etc.) are used for image transformation and lane marking detection under challenging light conditions. Then, road parameters are estimated and tracked over the whole video sequence.",Artem,Ingolstadt,[],https://github.com/artemkaliuk/CarND-LaneLines-P2.git,1,0
trading_rl,the project contains an environment and agent to use deep reinforcement learning in trading. the environment uses the quant connect API in python,Maurizio,Munich,[],https://github.com/localhorst87/trading_rl.git,4,2
kaos,open source platform for simplifying machine learning deployment,KI labs GmbH,Munich,"['ml', 'platform', 'kaos', 'terraform', 'kubernetes', 'pachyderm', 'python', 'cloud-agnostic']",https://github.com/KI-labs/kaos.git,85,7
machine-learning-applied-to-cfd,Examples of how to use machine learning algorithms in computational fluid dynamics.,Andre Weiner,Braunschweig,[],https://github.com/AndreWeiner/machine-learning-applied-to-cfd.git,73,25
machine-learning-interactive-visualization,Interactive visualization of machine learning model evaluation metrics,Dominik Haitz,Hamburg,"['machine-learning', 'jupyter-notebook', 'voila', 'dashboard', 'python', 'matplotlib', 'seaborn']",https://github.com/dhaitz/machine-learning-interactive-visualization.git,40,7
Machine-Learning-Engineer-Nanodegree,"Notes and material for the ""Machine Learning Engineer Nanodegree"" (MLND) by Udacity.",Timo Meiendresch,Cologne [GER],[],https://github.com/tm1611/Machine-Learning-Engineer-Nanodegree.git,30,10
ML-Navigator,Open source tutorial-based Machine Learning framework,KI labs GmbH,Munich,[],https://github.com/KI-labs/ML-Navigator.git,15,1
constant_velocity_pedestrian_motion,"Code for ""What the Constant Velocity Model Can Teach Us About Pedestrian Motion Prediction"", Schöller et al., Robotics and Automation Letters (RA-L), 2020",Christoph Schöller,Munich,[],https://github.com/cschoeller/constant_velocity_pedestrian_motion.git,22,6
i_see_pee,icp based robot localization,Dima Dorezyuk,Munich,"['icp', 'ros', 'localization', 'agv', 'robotics']",https://github.com/dorezyuk/i_see_pee.git,14,7
calibration-framework,Python Framework to calibrate confidence estimates of classifiers like Neural Networks,Fabian Küppers,Bottrop,[],https://github.com/fabiankueppers/calibration-framework.git,40,8
imd,"Code for MSID, a Multi-Scale Intrinsic Distance for comparing generative models, studying neural networks, and more!",Anton Tsitsulin,Bonn,[],https://github.com/xgfs/imd.git,38,3
3dMRISegmentation,"Code for NeuroImage: Clinical paper ""Automatic post-stroke lesion segmentation on MR images using 3D residual convolutional neural network.""",Biomedical Informatics Research and Data Science @ Dartmouth,"Hanover, NH","['ischemic-stroke', 'segmentation', 'mri', 'medical-image-analysis', 'pytorch', '3d-resnet']",https://github.com/BMIRDS/3dMRISegmentation.git,11,4
gnn-pretraining-evaluation,"Can Graph Neural Networks Go ""Online""? An Analysis of Pretraining and Inference",Lukas Galke,Kiel,[],https://github.com/lgalke/gnn-pretraining-evaluation.git,11,1
Artificial-Intelligence-IN2062,Solutions to programming exercises of Artificial Intelligence course @TUM #Python #Java,Pınar Kaymaz,Munich,"['python', 'tum', 'java', 'artifical-intelligence', 'knowledge-base', 'search-algorithm', 'depth-first-search', 'astar-search-algorithm', 'inference-engine']",https://github.com/pinarkaymaz6/Artificial-Intelligence-IN2062.git,1,0
ai-master-thesis,"Submitted Files for Master Thesis ""The Portrayal of Artificial Intelligence in Science Fiction Literatur"" FSS19",Larissa Haas,Heidelberg,[],https://github.com/LarissaHa/ai-master-thesis.git,1,0
SER-datasets,A collection of datasets for the purpose of emotion recognition/detection in speech.,Ayoub Malek,Munich,"['speech-emotion-recognition', 'emotional-speech-databases', 'databases', 'emotions', 'speech', 'emotions-recognition', 'datasets', 'multimodal-emotion-recognition', 'iemocap-emotion']",https://github.com/SuperKogito/SER-datasets.git,7,1
KayMo,Facial and Speech Emotion Recognition 🔊💗👀🎭🎶,Amr Kayid,Munich,[],https://github.com/AmrMKayid/KayMo.git,1,1
DeepVisual,Reconstruct visual stimuli from EEG data using Deep Learning,Stefan,"Munich, DE","['eeg', 'eeg-analysis', 'machine-learning', 'brainweb']",https://github.com/stefanches7/DeepVisual.git,3,2
2019_DL,2019 Deep Learning Summary,Shaohang,Karlsruhe,[],https://github.com/ClaytonStudent/2019_DL.git,2,1
cn24-active,"Code for ""Active Learning for Deep Object Detection""",Computer Vision Group Jena,Jena,[],https://github.com/cvjena/cn24-active.git,2,1
DeepLearningResources,This repository contains links to useful deep learning resources to get started with the topic or gain insight into specific topics,Health Hackers e.V.,Erlangen,[],https://github.com/healthhackersER/DeepLearningResources.git,2,1
BRAN,BRAN (Basic Recognition and Authentication at eNtrance) - A Facial recognition based identification & authentication system mounted at KI labs office entrance in Munich (https://www.ki-labs.com),KI labs GmbH,Munich,"['facial-recognition', 'raspberry-pi-3', 'opencv', 'python', 'picamera', 'hog-features-extraction', 'cnn-for-visual-recognition']",https://github.com/KI-labs/BRAN.git,9,1
exploring_hybrid_ctc_attention_asr,"Source Code for ""Exploring Hybrid CTC/Attention End-to-End Speech Recognition with Gaussian Processes""",Ludwig Kürzinger,Munich,[],https://github.com/lumaku/exploring_hybrid_ctc_attention_asr.git,4,1
nlp-with-actions,Natural Language Processing With Actions,michael spengler,Heidelberg,[],https://github.com/michael-spengler/nlp-with-actions.git,2,0
nlp_notebooks,"Jupyter Notebooks for the course ""Natural Language Processing in Python""",Matthias Aßenmacher,Munich,[],https://github.com/assenmacher-mat/nlp_notebooks.git,2,0
source-separation,Audio Source separation based on deep learning,Tapan Sharma,Munich,[],https://github.com/t6nand/source-separation.git,7,2
lais-learning-analytics-1819,"Learning Analytics Insights is a Project developed as a part of Learning Analytics lecture(WS 18/19), taught by Prof. Dr. Mohamed Chatti at University of Duisburg Essen. The R based application can be used for predicting student grades (based on inputs taken from a Survey and an open source data set) and for visualizing the results.",Ankita Mandal,Munich,[],https://github.com/ankitaMandal/lais-learning-analytics-1819.git,2,0
