repo_name,description,owner,owner_location,topic,url,num_stars,num_forks
Anti-Money-Laundering-using-Keras,Utilize the deep learning library Keras to classify transactions as fraudulent(1) or non-fraudulent(0).,Damneet Pal Singh Saini,"Falkirk, Scotland","['python', 'deep-learning', 'keras', 'neural-networks', 'aml']",https://github.com/Das00130/Anti-Money-Laundering-using-Keras.git,19,13
MetaVOS,"Official code for the paper titled ""Meta Learning Deep Visual Words for Fast Video Object Segmentation""",Harkirat Singh Behl,Oxford,[],https://github.com/harkiratbehl/MetaVOS.git,17,3
CS224n-winter2019-assignments-solution,Assignment solutions CS224n: Natural Language Processing with Deep Learning (winter-2019),Atabak Pouya,Orange county,[],https://github.com/atabakp/CS224n-winter2019-assignments-solution.git,13,6
MAAN,"Code for the paper ""Marginalized Average Attentional Network for Weakly-Supervised Learning"" (ICLR 2019)",Yuan Yuan,"Cambridge, Massachusetts",[],https://github.com/yyuanad/MAAN.git,33,4
Supervised-Encoding-Quantizer,SUPERVISED ENCODING FOR DISCRETE REPRESENTATION LEARNING,Cat Le,"Durham, NC",[],https://github.com/lephuoccat/Supervised-Encoding-Quantizer.git,4,2
SDSS-ML,These scripts explore galaxy/quasar/star classification from optical and infrared magnitudes using supervised machine learning.,Alex Clarke,Manchester,[],https://github.com/informationcake/SDSS-ML.git,2,0
thinkful_ml_unit2,Thinkful Data Science Bootcamp - Unit 2 Supervised Learning ,Kelly C,Raleigh-Durham,[],https://github.com/kmcmcurtis7/thinkful_ml_unit2.git,1,0
ArtificialIntelligenceEngines,Computer code collated for use with Artificial Intelligence Engines book by JV Stone,Dr James V Stone,"Sheffield, UK.","['learning', 'perceptron', 'gan', 'hopfield-neural-network', 'boltzmann-machine', 'variational-autoencoders', 'perceptron-neural-networks', 'artificial-intelligence', 'machine-learning', 'backpropagation', 'deep-learning', 'neural-networks', 'reinforcement-learning', 'deeplearning']",https://github.com/jgvfwstone/ArtificialIntelligenceEngines.git,28,11
SecurePrivateAIScholarship,Artificial Intelligence and Machine Learning python scripts for the Secure and Private AI Facebook Scholarship Challenge,Mikaela Sanchez,Canterbury,[],https://github.com/mikaelasanchez/SecurePrivateAIScholarship.git,10,3
DCT-Computer-Vision,Image recognition software for Duke Conservation Tech's UAV Camera.,William Yu,"Durham, North Carolina",[],https://github.com/wyu12/DCT-Computer-Vision.git,3,12
