repo_name,description,owner,owner_location,topic,url,num_stars,num_forks
Life-Expectancy-Prediction,"Life Expectancy Prediction by Country with supervised learning, mixed effect effect modeling, and clustering. ",Trent Casillas,"Los Angeles,CA","['regression', 'mixed-effects-models', 'thiel-sen', 'gradient-boosting', 'k-means-clustering', 'mean-shift', 'machine-learning', 'ridge-regression', 'jupyter-notebooks', 'random-slopes', 'random-intercepts', 'social-sciences', 'life-expectancy', 'supervised-learning', 'unsupervised-learning']",https://github.com/trent129/Life-Expectancy-Prediction.git,3,1
Random_Forests,Supervised Learning Algorithm: Random Forest Classifier,Paul Armen Gureghian,Los Angeles CA ,[],https://github.com/paulgureghian/Random_Forests.git,1,0
Machine-Learning,"This contains all my submissions for my Machine Learning class I took in the Spring of 2019. These were explorations of different supervised and unsupervised learning techniques, some involve the use of Python packages (like Scikit Learn), others show a step-by-step implementation of the technique to better understand the math behind these complex algorithms.",Divya Suri,"Los Angeles, CA",[],https://github.com/divyasuri/Machine-Learning.git,1,0
zfood,"iOS app using IBM Watson - Visual Recognition, to classify images as consumable or non-consumable items",Michael Arakilian,"Los Angeles, CA","['ios', 'swift', 'ibm-cloud', 'ibm-watson']",https://github.com/arakilian0/zfood.git,2,0
image-recognition,A simple image recognition program,Allen,"Los Angeles, CA",[],https://github.com/allenARM/image-recognition.git,1,0
gopherbot,A robotic gopher plushie that you can code using TinyGo.,The Hybrid Group,"Los Angeles, CA",[],https://github.com/hybridgroup/gopherbot.git,6,3
prince-computer-vision,"work-through of Computer Vision: Models, Learning, and Inference by Simon J.D. Prince","Joe Dinius, PhD","Los Angeles, CA",[],https://github.com/jwdinius/prince-computer-vision.git,5,5
UC-Berkeley-CS-294-Deep-RL, Implementation of Deep RL Algorithms for UC Berkeley's CS 294-112 (Fall 2018): Deep Reinforcement Learning,Seyed Mohammad Asghari,"Los Angeles, CA",[],https://github.com/mohammadasghari/UC-Berkeley-CS-294-Deep-RL.git,3,1
aim_ros,4-way 3-dedicated-lane autonomous intersection management system implemented in ros assuming fully autonomous (level 5) vehicles ,Ahmed Fayed,"Los Angeles, CA",[],https://github.com/adfayed/aim_ros.git,2,0
OpenCV_Projects,Computer Vision projects in Python using the OpenCV library. ,Paul Armen Gureghian,Los Angeles CA ,[],https://github.com/paulgureghian/OpenCV_Projects.git,1,0
safe_rl_papers,A list of safe reinforcement learning papers,Chi Zhang,"Los Angeles, CA",[],https://github.com/vermouth1992/safe_rl_papers.git,6,1
robot-101,"Tutorial, books, videos, resources to help us learn and DIY Open Sources Robot",Open AI Robot,"Los Angeles, CA",[],https://github.com/open-ai-robot/robot-101.git,99,19
mode_nn_debugging,MODE: Automated Neural Network Model Debugging via State Differential Analysis and Input Selection - Replication Project,Fabrice Harel-Canada,"Los Angeles, CA",[],https://github.com/fabriceyhc/mode_nn_debugging.git,10,0
aiwithoutmath,Artificial intelligence (AI) and machine learning concepts simplified,RyanM,"Los Angeles, CA",[],https://github.com/RyanMcCarl/aiwithoutmath.git,1,0
ml-resources-Portland-OR-USA,"A list of groups meeting in Portland, Oregon, United States, mostly focused on machine learning or artificial intelligence.",Jim Tyhurst,"Portland, Oregon, United States of America",[],https://github.com/jimtyhurst/ml-resources-Portland-OR-USA.git,1,0
QRReader,"QRreader is a iOS application for scanning/reading QR Codes using your phone's camera. The app also looks for its surrounding area for text, and uses text-recognition to read it out. And it also has facial recognition",Daval Cato,"Los Angeles, CA",[],https://github.com/davalcato/QRReader.git,1,1
